Date,Gender,Height,Weight,Step_count,Calories_intake
2020-11-02,M,176,174.72,3606,7550
2020-11-03,M,176,178.88,8201,1400
2020-11-04,M,176,175.75,8035,1550
2020-11-05,M,176,173.68,8584,2350
2020-11-06,M,176,173.15,8331,5400
2020-11-07,M,176,176.02,8399,3300
2020-11-08,M,176,175.11,4062,5350
2020-11-09,M,176,176.02,3925,5200
2020-11-10,M,176,178.09,8758,2000
2020-11-11,M,176,175.25,7825,3550
2020-11-12,M,176,175.75,3546,2200
2020-11-13,M,176,175.75,8820,2600
2020-11-14,M,176,175.11,8738,3700
2020-11-15,M,176,174.21,8811,3600
2020-11-16,M,176,174.21,7915,2600
2020-11-17,M,176,172.11,7939,4250
2020-11-18,M,176,175.88,8225,2050
2020-11-19,M,176,174.85,3160,5850
2020-11-20,M,176,177.98,3995,1950
2020-11-21,M,176,174.21,8763,5050
2020-11-22,M,176,174.98,3241,6200
2020-11-23,M,176,175.75,4001,7050
2020-11-24,M,176,177.98,4044,2200
2020-11-25,M,176,175.25,8391,2350
2020-11-26,M,176,176.92,3720,5350
2020-11-27,M,176,177.85,8145,1600
2020-11-28,M,176,174.85,8747,3150
2020-11-29,M,176,174.21,4042,3750
2020-11-30,M,176,175.88,3590,6400
2020-12-01,M,176,177.19,8640,2000
2020-12-02,M,176,175.88,8546,2200
2020-12-03,M,176,174.72,8663,2350
2020-12-04,M,176,174.21,8514,2050
2020-12-05,M,176,173.68,3206,3150
2020-12-06,M,176,174.85,3843,4700
2020-12-07,M,176,176.15,3645,4100
2020-12-08,M,176,177.05,8501,2500
2020-12-09,M,176,174.85,8107,2400
2020-12-10,M,176,173.68,3875,2150
2020-12-11,M,176,172.78,8522,2300
2020-12-12,M,176,171.61,7848,2800
2020-12-13,M,176,172.64,3145,9150
2020-12-14,M,176,179.28,3330,1400
2020-12-15,M,176,176.81,8537,2200
2020-12-16,M,176,173.94,8586,2300
2020-12-17,M,176,172.78,8694,2400
2020-12-18,M,176,172.78,7903,2100
2020-12-19,M,176,172.11,3818,2300
2020-12-20,M,176,171.61,3448,5750
